model-1640209981,1640209981.924,0.96,0.0418,0.77,0.1946
model-1640209981,1640209981.942,0.84,0.1275,0.72,0.2094
model-1640209981,1640209981.961,0.94,0.047,0.79,0.1604
model-1640209981,1640209981.979,0.92,0.064,0.77,0.1974
model-1640209981,1640209981.995,0.93,0.0678,0.79,0.1936
model-1640209981,1640209982.012,0.93,0.0719,0.69,0.2282
model-1640209981,1640209982.028,0.91,0.0681,0.66,0.2368
model-1640209981,1640209982.044,0.94,0.0454,0.74,0.1867
model-1640209981,1640209982.058,0.94,0.0536,0.77,0.1828
model-1640209981,1640209982.073,0.95,0.0554,0.74,0.1869
model-1640209981,1640209982.088,0.92,0.0687,0.69,0.2363
model-1640209981,1640209982.104,0.95,0.0518,0.81,0.1311
model-1640209981,1640209982.119,0.89,0.0805,0.74,0.176
model-1640209981,1640209982.135,0.93,0.0742,0.76,0.1722
model-1640209981,1640209982.149,0.85,0.1138,0.81,0.1537
model-1640209981,1640209982.162,0.94,0.0452,0.8,0.1535
model-1640209981,1640209982.175,0.94,0.0489,0.71,0.2358
model-1640209981,1640209982.188,0.97,0.0334,0.81,0.1322
model-1640209981,1640209982.2,0.96,0.0416,0.8,0.1596
model-1640209981,1640209982.214,0.88,0.0893,0.73,0.1922
model-1640209981,1640209982.226,0.91,0.0777,0.82,0.1403
model-1640209981,1640209982.241,0.97,0.0313,0.77,0.1846
model-1640209981,1640209982.254,0.94,0.0546,0.7,0.2101
model-1640209981,1640209982.268,0.94,0.0453,0.73,0.2101
model-1640209981,1640209982.28,0.95,0.0661,0.78,0.1752
model-1640209981,1640209982.293,0.87,0.07,0.74,0.168
model-1640209981,1640209982.307,0.89,0.0625,0.85,0.1468
model-1640209981,1640209982.32,0.89,0.0702,0.71,0.2158
model-1640209981,1640209982.332,0.94,0.0449,0.73,0.1964
model-1640209981,1640209982.346,0.9,0.0779,0.75,0.1889
model-1640209981,1640209982.36,0.91,0.0696,0.72,0.211
model-1640209981,1640209982.373,0.92,0.0692,0.71,0.2187
model-1640209981,1640209982.386,0.91,0.072,0.71,0.236
model-1640209981,1640209982.399,0.91,0.0798,0.71,0.2081
model-1640209981,1640209982.413,0.82,0.1367,0.72,0.2232
model-1640209981,1640209982.426,0.92,0.0762,0.76,0.2151
model-1640209981,1640209982.441,0.89,0.0857,0.65,0.2387
model-1640209981,1640209982.454,0.94,0.0512,0.74,0.2015
model-1640209981,1640209982.468,0.95,0.0507,0.73,0.2012
model-1640209981,1640209982.481,0.89,0.0874,0.79,0.1569
model-1640209981,1640209982.494,0.92,0.0682,0.66,0.2224
model-1640209981,1640209982.506,0.89,0.0826,0.81,0.1471
model-1640209981,1640209982.52,0.92,0.0754,0.72,0.2298
model-1640209981,1640209982.533,0.87,0.0909,0.7,0.2255
model-1640209981,1640209982.546,0.89,0.0787,0.79,0.1624
